5649JSN;17/03/2025 17:30;17/03/2025 17:31;-1
2008ZGZ;17/03/2025 17:30;17/03/2025 17:31;-1
8806KZS;17/03/2025 10:32;17/03/2025 17:32;-14
4867KTV;17/03/2025 10:32;17/03/2025 17:32;-14
6499GJX;DESCONOCIDA;17/03/2025 17:53;100.0
5649JSN;17/03/2025 17:53;17/03/2025 17:54;0
2008ZGZ;17/03/2025 17:53;17/03/2025 17:54;0
6499GJX;DESCONOCIDA;17/03/2025 17:54;100.0
6499GJX;DESCONOCIDA;17/03/2025 17:57;100.0
8806KZS;17/03/2025 10:58;17/03/2025 18:00;42
4867KTV;17/03/2025 17:50;17/03/2025 18:00;0
5649JSN;17/03/2025 18:00;17/03/2025 18:14;1.4
2008ZGZ;17/03/2025 18:10;17/03/2025 18:14;0.4
5649JSN;18/03/2025 00:32;18/03/2025 00:37;0.5
2008ZGZ;18/03/2025 00:32;18/03/2025 00:37;0.5
8806KZS;DESCONOCIDA;18/03/2025 00:37;100.0
4867KTV;DESCONOCIDA;18/03/2025 00:37;100.0
1957MNT;DESCONOCIDA;18/03/2025 00:37;100.0
6499GJX;DESCONOCIDA;18/03/2025 00:37;100.0
